Word,Date,Month,Day,WeekNum,Contest number,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
fault,2022/10/24,10,24,2,492,28947,2768,0,7,27,35,22,8,1
mummy,2022/10/23,10,23,1,491,29279,3021,0,1,4,14,27,37,18
spiel,2022/10/22,10,22,7,490,29084,2810,0,7,32,36,19,6,1
grove,2022/10/21,10,21,6,489,28637,2794,0,4,18,30,28,17,3
denim,2022/10/20,10,20,5,488,28741,2769,0,5,29,40,20,5,0
quirk,2022/10/19,10,19,4,487,28322,2794,0,3,23,39,24,9,2
exist,2022/10/18,10,18,3,486,28612,2805,0,5,24,38,23,8,1
stein,2022/10/17,10,17,2,485,31269,2965,1,12,34,32,16,5,1
spade,2022/10/16,10,16,1,484,30459,2854,1,8,29,36,19,6,1
catch,2022/10/15,10,15,7,483,30403,3123,0,7,18,20,15,16,23
floor,2022/10/14,10,14,6,482,28906,2752,0,3,23,44,24,6,0
equal,2022/10/13,10,13,5,481,27197,2677,0,5,23,35,25,11,2
ionic,2022/10/12,10,12,4,480,29151,2947,0,2,13,25,28,21,11
valid,2022/10/11,10,11,3,479,28575,2752,0,4,28,38,21,8,1
enjoy,2022/10/10,10,10,2,478,26878,2654,0,3,12,29,33,20,3
howdy,2022/10/9,10,9,1,477,28408,2668,0,2,13,32,32,17,4
vigor,2022/10/8,10,8,7,476,26905,2642,0,2,15,35,31,14,2
dandy,2022/10/7,10,7,6,475,29026,2840,0,2,11,23,29,24,11
sloth,2022/10/6,10,6,5,474,32522,2987,1,10,38,34,13,3,0
marxh,2022/10/5,10,5,4,473,30935,2885,0,9,30,35,19,6,1
bough,2022/10/4,10,4,3,472,32014,3060,0,3,17,35,28,13,3
sting,2022/10/3,10,3,2,471,32288,2969,1,10,30,33,18,8,2
twine,2022/10/2,10,2,1,470,30088,2775,0,6,28,40,20,5,1
leave,2022/10/1,10,1,7,469,28202,2696,0,4,16,34,31,12,1
scorn,2022/9/30,9,30,6,468,31223,2859,0,8,31,35,20,6,1
scald,2022/9/29,9,29,5,467,30477,2829,0,4,23,36,24,11,2
usurp,2022/9/28,9,28,4,466,31355,3007,0,3,21,38,26,9,1
soggy,2022/9/27,9,27,3,465,30985,2888,0,2,18,38,28,11,2
brisk,2022/9/26,9,26,2,464,31706,2884,0,5,23,38,24,7,1
admit,2022/9/25,9,25,1,463,28994,2677,0,10,25,34,22,8,1
grate,2022/9/24,9,24,7,462,32777,3077,1,14,29,28,16,8,3
glory,2022/9/23,9,23,6,461,31509,2893,0,6,30,39,19,5,0
saint,2022/9/22,9,22,5,460,34455,3119,1,14,35,29,15,5,1
recap,2022/9/21,9,21,4,459,31976,2900,0,5,30,35,21,8,1
alike,2022/9/20,9,20,3,458,31277,2843,0,6,20,33,27,12,2
trice,2022/9/19,9,19,2,457,35050,3430,0,5,24,25,18,17,11
stick,2022/9/18,9,18,1,456,33102,3038,1,9,36,35,14,4,0
chute,2022/9/17,9,17,7,455,33418,3073,0,11,37,36,12,3,0
parer,2022/9/16,9,16,6,454,37309,4130,0,0,4,11,15,22,48
doubt,2022/9/15,9,15,5,453,33344,3011,1,12,32,34,16,4,0
thyme,2022/9/14,9,14,4,452,32142,2938,1,5,24,41,23,5,0
alpha,2022/9/13,9,13,3,451,29497,2706,0,3,19,40,28,9,1
booze,2022/9/12,9,12,2,450,29147,2883,0,1,7,27,38,23,4
tibia,2022/9/11,9,11,1,449,27887,2675,0,1,14,40,30,12,2
lofty,2022/9/10,9,10,7,448,29237,2777,0,4,19,34,27,13,3
theme,2022/9/9,9,9,6,447,32172,2909,0,8,29,40,18,4,0
class,2022/9/8,9,8,5,446,31962,3001,0,4,21,32,22,13,7
leery,2022/9/7,9,7,4,445,30992,2873,0,3,17,37,28,12,2
taunt,2022/9/6,9,6,3,444,32734,3022,0,4,19,27,21,16,13
whoop,2022/9/5,9,5,2,443,32733,2970,0,1,16,47,29,7,1
inter,2022/9/4,9,4,1,442,32018,2889,0,6,25,36,23,8,1
gully,2022/9/3,9,3,7,441,31191,2877,0,1,9,27,31,25,7
charm,2022/9/2,9,2,6,440,35724,3149,1,12,32,34,16,5,1
fungi,2022/9/1,9,1,5,439,31903,2928,0,2,18,41,28,9,1
prize,2022/8/31,8,31,4,438,35343,3166,0,5,12,20,32,26,5
onset,2022/8/30,8,30,3,437,33660,3009,0,4,29,40,21,6,1
chief,2022/8/29,8,29,2,436,34281,3072,1,6,32,38,18,5,0
gauze,2022/8/28,8,28,1,435,30214,2866,0,2,11,24,31,25,8
ruder,2022/8/27,8,27,7,434,31241,2784,0,2,16,33,29,16,4
irony,2022/8/26,8,26,6,433,34716,3046,0,6,29,34,21,8,1
clown,2022/8/25,8,25,5,432,36737,3175,1,8,29,36,20,6,1
needy,2022/8/24,8,24,4,431,33700,2927,0,2,21,41,26,9,1
woven,2022/8/23,8,23,3,430,33549,2933,0,2,13,32,32,17,3
merit,2022/8/22,8,22,2,429,35888,3123,0,7,33,37,17,5,0
waste,2022/8/21,8,21,1,428,35617,3186,1,7,19,27,24,17,5
treat,2022/8/20,8,20,7,427,38245,3249,1,22,32,26,14,5,1
shrug,2022/8/19,8,19,6,426,33965,2987,0,4,23,36,26,10,1
twang,2022/8/18,8,18,5,425,34938,3172,0,3,22,43,25,7,1
twice,2022/8/17,8,17,4,424,35815,3173,1,6,28,38,21,6,1
gruel,2022/8/16,8,16,3,423,35105,3087,0,3,19,39,29,9,1
poker,2022/8/15,8,15,2,422,35376,3180,0,4,17,30,27,17,5
khaki,2022/8/14,8,14,1,421,31652,2968,0,2,17,33,28,16,4
hunky,2022/8/13,8,13,7,420,35276,3185,0,1,11,33,25,22,7
label,2022/8/12,8,12,6,419,34198,3076,0,4,18,32,29,15,2
glean,2022/8/11,8,11,5,418,37301,3243,0,6,23,37,24,8,1
cling,2022/8/10,8,10,4,417,37654,3312,0,4,20,34,27,13,2
patty,2022/8/9,8,9,3,416,36223,3019,0,2,16,39,29,12,1
unfit,2022/8/8,8,8,2,415,35516,3187,0,3,24,38,25,9,1
smear,2022/8/7,8,7,1,414,36223,3190,0,2,16,39,29,12,2
alien,2022/8/6,8,6,7,413,38841,3395,3,17,31,29,15,4,0
buggy,2022/8/5,8,5,6,412,37350,3428,0,1,9,29,34,22,5
rhyme,2022/8/4,8,4,5,411,37229,3336,0,4,22,39,25,8,1
youth,2022/8/3,8,3,4,410,38381,3327,1,5,17,31,29,15,3
coyly,2022/8/2,8,2,3,409,34909,3380,0,0,4,17,28,35,15
quart,2022/8/1,8,1,2,408,36662,3303,0,5,20,33,27,13,2
cramp,2022/7/31,7,31,1,407,39250,3369,1,8,26,33,19,10,2
bluff,2022/7/30,7,30,7,406,37353,3171,0,2,14,42,31,10,1
upset,2022/7/29,7,29,6,405,37791,3213,0,5,30,38,20,6,1
stomp,2022/7/28,7,28,5,404,40650,3490,0,7,26,32,21,11,2
motto,2022/7/27,7,27,4,403,38384,3285,0,1,11,36,36,14,1
cinch,2022/7/26,7,26,3,402,39171,3507,0,2,15,24,22,25,13
elope,2022/7/25,7,25,2,401,39228,3339,0,4,22,32,26,13,2
power,2022/7/24,7,24,1,400,39813,3401,2,6,19,29,24,15,4
midge,2022/7/23,7,23,7,399,36769,3111,0,2,18,39,28,10,2
tryst,2022/7/22,7,22,6,398,43099,3665,0,3,26,41,23,6,1
aphid,2022/7/21,7,21,5,397,39086,3367,0,6,24,36,23,9,2
trite,2022/7/20,7,20,4,396,42237,3685,0,4,14,22,22,23,15
angry,2022/7/19,7,19,3,395,39667,3358,0,5,27,38,21,7,1
flock,2022/7/18,7,18,2,394,42574,3548,0,4,22,37,27,9,1
wacky,2022/7/17,7,17,1,393,39611,3345,0,3,18,39,27,10,2
roomy,2022/7/16,7,16,7,392,38769,3280,0,2,17,41,28,10,2
wedge,2022/7/15,7,15,6,391,39234,3353,0,2,11,32,37,17,2
liver,2022/7/14,7,14,5,390,40549,3388,0,4,16,26,25,20,8
bland,2022/7/13,7,13,4,389,46246,3727,0,7,31,38,18,4,0
night,2022/7/12,7,12,3,388,46910,3870,1,8,27,27,17,13,7
madam,2022/7/11,7,11,2,387,40545,3430,0,3,13,35,34,14,2
berth,2022/7/10,7,10,1,386,41785,3494,0,7,24,35,24,9,1
stead,2022/7/9,7,9,7,385,47094,3933,1,6,20,27,28,16,3
voice,2022/7/8,7,8,6,384,42806,3484,1,5,24,35,25,9,1
agape,2022/7/7,7,7,5,383,43407,3671,0,2,18,36,27,15,3
fluff,2022/7/6,7,6,4,382,47344,4049,0,0,4,25,44,23,4
field,2022/7/5,7,5,3,381,44578,3604,1,6,25,36,23,9,1
sever,2022/7/4,7,4,2,380,42645,3591,0,2,13,27,29,21,7
lilac,2022/7/3,7,3,1,379,40486,3461,0,2,17,38,29,12,1
egret,2022/7/2,7,2,7,378,41765,3515,0,3,14,33,33,15,2
pinto,2022/7/1,7,1,6,377,47248,3792,0,5,25,41,22,6,1
hutch,2022/6/30,6,30,5,376,44212,3758,0,1,12,28,28,21,9
gawky,2022/6/29,6,29,4,375,45645,3957,0,1,5,22,33,28,10
droll,2022/6/28,6,28,3,374,47312,3844,0,2,16,31,31,17,3
retro,2022/6/27,6,27,2,373,47986,3848,0,6,24,35,24,9,1
rusty,2022/6/26,6,26,1,372,50450,3954,0,9,37,34,13,5,1
beady,2022/6/25,6,25,7,371,46089,3670,0,3,19,39,29,10,1
smite,2022/6/24,6,24,6,370,50617,3991,0,6,23,35,24,11,2
brink,2022/6/23,6,23,5,369,53111,4118,0,4,22,41,24,7,1
awful,2022/6/22,6,22,4,368,47645,3861,0,5,21,33,27,12,2
gloat,2022/6/21,6,21,3,367,53342,4194,0,8,21,31,26,12,2
input,2022/6/20,6,20,2,366,50484,3950,0,5,30,38,21,6,1
loser,2022/6/19,6,19,1,365,55359,4399,1,10,28,32,19,8,2
cacao,2022/6/18,6,18,7,364,47205,4101,0,1,9,27,36,23,4
blown,2022/6/17,6,17,6,363,54665,4251,0,6,23,35,26,10,1
apron,2022/6/16,6,16,5,362,53430,4112,0,7,30,38,19,5,1
primo,2022/6/15,6,15,4,361,55989,4391,0,3,22,38,25,10,2
atone,2022/6/14,6,14,3,360,59968,4762,2,16,34,29,14,4,1
donor,2022/6/13,6,13,2,359,53802,4142,0,3,27,38,23,7,1
float,2022/6/12,6,12,1,358,56684,4323,1,12,30,32,18,6,1
goose,2022/6/11,6,11,7,357,51958,4087,0,2,12,28,32,21,5
piety,2022/6/10,6,10,6,356,55376,4324,0,4,25,41,22,7,1
girth,2022/6/9,6,9,5,355,60020,4665,0,6,23,33,23,12,3
trait,2022/6/8,6,8,4,354,61026,4607,0,6,22,35,24,11,2
flood,2022/6/7,6,7,3,353,58991,4440,0,3,20,40,28,8,1
gloom,2022/6/6,6,6,2,352,58478,4548,0,2,14,35,35,13,1
depth,2022/6/5,6,5,1,351,56738,4329,0,6,28,39,20,6,1
froth,2022/6/4,6,4,7,350,58263,4432,0,5,22,35,25,11,1
peach,2022/6/3,6,3,6,349,65431,4957,1,13,38,32,13,3,0
showy,2022/6/2,6,2,5,348,61278,4770,0,2,16,37,30,13,2
creak,2022/6/1,6,1,4,347,63241,4797,0,5,21,32,25,14,3
manor,2022/5/31,5,31,3,346,62768,4802,0,6,27,34,21,10,2
atoll,2022/5/30,5,30,2,345,60969,4741,0,6,28,36,21,8,1
bayou,2022/5/29,5,29,1,344,56839,4435,0,6,17,33,29,13,2
crept,2022/5/28,5,28,7,343,60069,4562,0,4,27,38,22,7,1
tiara,2022/5/27,5,27,6,342,63846,4842,0,8,36,33,17,6,1
asset,2022/5/26,5,26,5,341,63188,4733,0,7,28,34,21,8,1
vouch,2022/5/25,5,25,4,340,62723,4835,0,2,9,25,33,24,6
album,2022/5/24,5,24,3,339,63380,4809,0,5,26,35,24,9,1
hinge,2022/5/23,5,23,2,338,66431,4906,0,5,25,37,22,9,2
money,2022/5/22,5,22,1,337,67909,4928,1,7,26,36,21,8,1
scrap,2022/5/21,5,21,7,336,66814,4973,1,9,28,34,20,8,1
gamer,2022/5/20,5,20,6,335,69884,5238,1,4,17,28,26,18,6
glass,2022/5/19,5,19,5,334,70920,5162,0,4,19,33,27,14,3
scour,2022/5/18,5,18,4,333,73933,5544,0,8,34,35,17,5,1
being,2022/5/17,5,17,3,332,70722,5142,0,4,22,37,26,10,1
delve,2022/5/16,5,16,2,331,68349,5179,0,2,14,32,33,16,2
yield,2022/5/15,5,15,1,330,67115,4963,0,4,16,29,29,18,4
metal,2022/5/14,5,14,7,329,73225,5290,1,10,31,34,18,7,1
tipsy,2022/5/13,5,13,6,328,77585,5522,0,6,33,38,17,5,1
slung,2022/5/12,5,12,5,327,75673,5419,0,2,16,37,31,13,2
farce,2022/5/11,5,11,4,326,79446,5688,0,9,26,32,21,9,1
gecko,2022/5/10,5,10,3,325,74412,5489,0,2,16,38,29,12,2
shine,2022/5/9,5,9,2,324,88932,6146,1,14,32,30,17,6,1
canny,2022/5/8,5,8,1,323,72518,5256,0,2,10,30,34,20,4
midst,2022/5/7,5,7,7,322,74458,5233,0,3,25,39,24,9,1
badge,2022/5/6,5,6,6,321,76292,5482,0,4,20,35,26,12,2
homer,2022/5/5,5,5,5,320,85979,6313,0,3,16,26,24,19,12
train,2022/5/4,5,4,4,319,107750,7243,6,26,32,22,10,3,0
hairy,2022/5/3,5,3,3,318,85817,5941,1,8,24,33,23,10,1
story,2022/5/2,5,2,2,317,95643,6530,1,10,23,29,24,11,2
forgo,2022/5/1,5,1,1,316,77658,5699,0,1,9,26,37,23,3
larva,2022/4/30,4,30,7,315,77991,5749,0,2,10,25,35,23,4
tash,2022/4/29,4,29,6,314,106652,7001,2,19,34,27,13,4,1
zesty,2022/4/28,4,28,5,313,88974,6315,0,2,12,27,30,22,7
shown,2022/4/27,4,27,4,312,98967,6564,0,6,26,36,22,8,1
heist,2022/4/26,4,26,3,311,103153,6830,1,13,32,31,16,6,1
askew,2022/4/25,4,25,2,310,91548,6549,0,3,13,29,32,19,4
inert,2022/4/24,4,24,1,309,97452,6743,0,7,27,34,22,9,1
olive,2022/4/23,4,23,7,308,95562,6482,1,6,25,34,23,10,1
plant,2022/4/22,4,22,6,307,119232,7731,2,19,39,28,10,3,0
oxide,2022/4/21,4,21,5,306,97955,6960,0,2,11,30,33,21,4
cargo,2022/4/20,4,20,4,305,102007,6796,0,5,20,34,27,12,2
foyer,2022/4/19,4,19,3,304,108899,8198,0,2,10,19,19,23,26
flair,2022/4/18,4,18,2,303,112383,7341,1,8,30,36,18,6,1
ample,2022/4/17,4,17,1,302,106681,7008,0,4,20,35,27,11,2
cheek,2022/4/16,4,16,7,301,107987,7035,0,3,19,40,28,9,1
shame,2022/4/15,4,15,6,300,129991,8522,1,11,22,25,21,15,5
mince,2022/4/14,4,14,5,299,113448,7356,0,6,24,35,24,10,1
chunk,2022/4/13,4,13,4,298,123255,7835,1,4,29,42,18,5,1
royal,2022/4/12,4,12,3,297,114907,7275,1,5,24,36,23,9,1
squad,2022/4/11,4,11,2,296,109828,7236,0,3,20,33,27,14,2
black,2022/4/10,4,10,1,295,126241,7894,1,10,31,34,18,6,1
stair,2022/4/9,4,9,7,294,134210,8537,2,21,36,26,11,4,1
scare,2022/4/8,4,8,6,293,141158,9010,1,12,23,26,21,13,4
foray,2022/4/7,4,7,5,292,117761,7575,0,2,14,31,31,19,4
comma,2022/4/6,4,6,4,291,117856,7560,0,2,13,33,33,17,3
natal,2022/4/5,4,5,3,290,121356,7702,0,2,14,32,32,17,3
shawl,2022/4/4,4,4,2,289,129651,7943,0,3,16,31,30,16,3
fewer,2022/4/3,4,3,1,288,124532,7931,0,2,10,24,32,26,6
trope,2022/4/2,4,2,7,287,155079,9315,1,16,33,28,15,6,1
snout,2022/4/1,4,1,6,286,144648,8913,1,4,19,27,26,18,5
lowly,2022/3/31,3,31,5,285,135219,8469,0,2,9,26,32,24,8
stove,2022/3/30,3,30,4,284,158139,9318,0,5,16,24,27,21,6
shall,2022/3/29,3,29,3,283,149070,8494,0,3,17,30,28,17,4
found,2022/3/28,3,28,2,282,173696,10613,1,6,17,22,20,21,14
nymph,2022/3/27,3,27,1,281,165468,9935,1,2,18,44,26,26,9
epoxy,2022/3/26,3,26,7,280,149507,9376,0,2,13,31,33,18,3
depot,2022/3/25,3,25,6,279,150197,8562,0,5,29,36,20,7,1
chest,2022/3/24,3,24,5,278,169066,9318,1,14,35,31,14,5,1
purge,2022/3/23,3,23,4,277,156785,8555,1,4,22,35,26,11,2
slosh,2022/3/22,3,22,3,276,160161,8807,0,2,19,36,27,13,2
their,2022/3/21,3,21,2,275,173636,9200,2,14,36,30,13,4,0
renew,2022/3/20,3,20,1,274,154987,8417,0,4,20,33,27,13,2
allow,2022/3/19,3,19,7,273,156311,8515,0,5,21,32,26,14,3
saute,2022/3/18,3,18,6,272,179830,9304,1,8,31,34,19,6,1
movie,2022/3/17,3,17,5,271,169071,8847,1,5,18,30,26,16,3
cater,2022/3/16,3,16,4,270,217856,11234,1,7,19,22,19,18,15
tease,2022/3/15,3,15,3,269,202855,10024,1,16,32,30,16,6,1
smelt,2022/3/14,3,14,2,268,185406,9373,0,5,19,33,28,13,2
focus,2022/3/13,3,13,1,267,179436,8937,1,4,23,36,24,10,1
today,2022/3/12,3,12,7,266,192049,9353,1,7,29,35,20,7,1
watch,2022/3/11,3,11,6,265,226349,12400,1,6,14,18,17,24,20
lapse,2022/3/10,3,10,5,264,208884,9960,0,8,31,34,19,7,1
month,2022/3/9,3,9,4,263,201799,9435,1,5,26,37,22,8,1
sweet,2022/3/8,3,8,3,262,207473,9767,1,5,18,31,28,15,2
hoard,2022/3/7,3,7,2,261,218595,9823,1,9,30,34,19,7,1
cloth,2022/3/6,3,6,1,260,218595,9911,1,8,33,34,17,7,1
brine,2022/3/5,3,5,7,259,229895,10405,1,9,25,29,22,12,3
ahead,2022/3/4,3,4,6,258,203730,9396,1,5,20,35,26,12,2
mourn,2022/3/3,3,3,5,257,240018,10465,1,8,29,34,19,8,1
nasty,2022/3/2,3,2,4,256,257304,10813,1,7,26,31,21,11,2
rupee,2022/3/1,3,1,3,255,240137,10577,1,2,17,35,30,13,2
choke,2022/2/28,2,28,2,254,251094,10521,1,8,30,36,18,6,1
chant,2022/2/27,2,27,1,253,250413,10438,1,9,33,33,16,7,1
spill,2022/2/26,2,26,7,252,248363,10087,1,5,26,34,22,10,2
vivid,2022/2/25,2,25,6,251,255907,11687,1,2,10,29,33,21,4
bloke,2022/2/24,2,24,5,250,250674,10405,1,6,21,32,25,12,2
trove,2022/2/23,2,23,4,249,277576,11411,1,5,16,24,25,22,8
thorn,2022/2/22,2,22,3,248,306356,11814,1,14,38,30,12,4,0
other,2022/2/21,2,21,2,247,278731,10887,1,9,26,30,21,10,2
tacit,2022/2/20,2,20,1,246,273306,11094,1,4,21,32,26,14,3
swill,2022/2/19,2,19,7,245,282327,11241,1,1,8,19,31,30,10
dodge,2022/2/18,2,18,6,244,265238,10220,1,3,15,29,27,19,7
shake,2022/2/17,2,17,5,243,342003,12767,1,6,16,23,24,21,9
caulk,2022/2/16,2,16,4,242,289721,10740,1,4,20,31,26,15,3
aroma,2022/2/15,2,15,3,241,287836,10343,1,6,25,33,22,11,2
cynic,2022/2/14,2,14,2,240,261521,10343,1,6,25,33,22,11,2
robin,2022/2/13,2,13,1,239,277471,3249,1,6,29,34,21,8,1
ultra,2022/2/12,2,12,7,238,269885,9310,1,7,23,34,24,10,1
ulcer,2022/2/11,2,11,6,237,278826,10631,1,4,18,30,28,16,3
pause,2022/2/10,2,10,5,236,304830,13480,1,8,26,32,21,10,2
humor,2022/2/9,2,9,4,235,305372,13846,1,5,22,34,25,11,2
frame,2022/2/8,2,8,3,234,336236,15369,1,10,20,24,24,17,3
elder,2022/2/7,2,7,2,233,288228,13340,1,3,13,24,30,24,5
skill,2022/2/6,2,6,1,232,311018,13716,1,3,17,33,27,16,3
aloft,2022/2/5,2,5,7,231,319698,13708,1,4,22,36,25,11,2
pleat,2022/2/4,2,4,6,230,359679,14813,1,10,28,31,19,9,2
shard,2022/2/3,2,3,5,229,358176,14609,1,7,22,28,25,14,4
moist,2022/2/2,2,2,4,228,361908,14205,3,13,32,29,16,7,1
those,2022/2/1,2,1,3,227,351663,13606,1,13,34,30,15,6,1
light,2022/1/31,1,31,2,226,341314,13347,1,10,25,27,19,12,5
wrung,2022/1/30,1,30,1,225,294687,11524,0,2,18,39,27,12,2
could,2022/1/29,1,29,7,224,313220,11592,1,7,29,35,20,8,1
perky,2022/1/28,1,28,6,223,296968,11148,1,4,17,30,27,17,4
mount,2022/1/27,1,27,5,222,331844,11451,1,9,29,33,19,7,1
whack,2022/1/26,1,26,4,221,302348,10163,1,4,22,37,24,10,2
sugar,2022/1/25,1,25,3,220,276404,8708,1,6,25,34,23,9,1
knoll,2022/1/24,1,24,2,219,258038,8317,1,1,11,29,33,21,4
crimp,2022/1/23,1,23,1,218,269929,7630,1,5,28,38,20,7,1
wince,2022/1/22,1,22,7,217,241489,6850,1,3,17,33,29,15,3
prick,2022/1/21,1,21,6,216,273727,7409,1,8,30,33,19,7,1
robot,2022/1/20,1,20,5,215,243964,6589,1,8,29,34,20,8,1
point,2022/1/19,1,19,4,214,280622,7094,1,16,37,28,12,4,1
proxy,2022/1/18,1,18,3,213,220950,6206,1,2,11,24,31,26,6
shire,2022/1/17,1,17,2,212,222197,5640,1,8,32,32,18,8,2
solar,2022/1/16,1,16,1,211,209609,4955,1,9,32,32,18,7,1
panic,2022/1/15,1,15,7,210,205880,4655,1,9,35,34,16,5,1
tangy,2022/1/14,1,14,6,209,169484,3985,1,4,21,30,24,15,5
abbey,2022/1/13,1,13,5,208,132726,3345,1,2,13,29,31,20,3
favor,2022/1/12,1,12,4,207,137586,3073,1,4,15,26,29,21,4
drink,2022/1/11,1,11,3,206,153880,3017,1,9,35,34,16,5,1
query,2022/1/10,1,10,2,205,107134,2242,1,4,16,30,30,17,2
gorge,2022/1/9,1,9,1,204,91477,1913,1,3,13,27,30,22,4
crank,2022/1/8,1,8,7,203,101503,1763,1,5,23,31,24,14,2
slump,2022/1/7,1,7,6,202,80630,1362,1,3,23,39,24,9,1
