word,week,month,date,th,sh,ch,er,ing,ou,en,ai,kn,ph,wr,qu,rate
itchy,5,11,25,0,0,1,0,0,0,0,0,0,0,0,0,0.096251601
feast,4,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0.098357697
drive,3,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0.09192514
prime,2,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0.092357036
axiom,1,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0.098073123
brave,7,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0.095874515
avert,6,11,19,0,0,0,1,0,0,0,0,0,0,0,0,0.096973615
glyph,5,11,18,0,0,0,0,0,0,0,0,0,1,0,0,0.099253629
there,4,11,17,1,0,0,1,0,0,0,0,0,0,0,0,0.09211724
baker,3,11,16,0,0,0,1,0,0,0,0,0,0,0,0,0.099350954
snarl,2,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0.096451319
maple,1,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0.092968043
inane,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0.100259119
valet,6,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0.095539335
medal,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.093794483
unite,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0.093748862
rainy,3,11,9,0,0,0,0,0,0,0,1,0,0,0,0,0.092395805
spell,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0.093007019
begin,1,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0934626
stale,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0.096980816
dream,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0.092492351
photo,5,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0.093852909
aloud,4,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0.095384719
inept,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.095410192
piney,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.133335757
aptly,1,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0.097063929
waltz,7,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0.101167315
libel,6,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0.10081094
sneak,5,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0.094463358
carry,4,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0.094715491
flout,3,10,26,0,0,0,0,0,1,0,0,0,0,0,0,0.096597146
foggy,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0.097295617
fault,1,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0.095623035
mummy,7,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0.103179753
spiel,6,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0.096616696
grove,5,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0.097566086
denim,4,10,20,0,0,0,0,0,0,1,0,0,0,0,0,0.096343203
quirk,3,10,19,0,0,0,0,0,0,0,0,0,0,0,1,0.098651225
exist,2,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0.098035789
stein,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0.094822348
spade,7,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0.093699728
catch,6,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0.102720126
floor,5,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0.095205148
equal,4,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0.098429974
ionic,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0.101094302
valid,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0.096307962
enjoy,1,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0.098742466
howdy,7,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0.093917206
vigor,6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0.098197361
dandy,5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0.097843313
sloth,4,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0.09184552
marxh,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0.093260061
bough,2,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0.095583182
sting,1,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0.091953667
twine,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.09222946
leave,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.095596057
scorn,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0.091567114
scald,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0.092824097
usurp,3,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0.09590177
soggy,2,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0.09320639
brisk,1,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0.090960701
admit,7,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0.092329447
grate,6,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0.093876804
glory,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0.091815037
saint,4,9,22,0,0,0,0,0,0,0,1,0,0,0,0,0.090523872
recap,3,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0.09069302
alike,2,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0.090897465
trice,1,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0978602
stick,7,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0.091776932
chute,6,9,17,0,0,1,0,0,0,0,0,0,0,0,0,0.091956431
parer,5,9,16,0,0,0,1,0,0,0,0,0,0,0,0,0.110697151
doubt,4,9,15,0,0,0,0,0,1,0,0,0,0,0,0,0.090301104
thyme,3,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0.091406882
alpha,2,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0.091738143
booze,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0.09891241
tibia,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0.095922831
lofty,6,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0.094982385
theme,5,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0.090420241
class,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0.093892748
leery,3,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0.092701342
taunt,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0.092319912
whoop,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0.090734122
inter,7,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0.090230495
gully,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0.092238146
charm,5,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0.088148024
fungi,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.091778203
prize,3,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0.089579266
onset,2,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0.089393939
chief,1,8,29,0,0,1,0,0,0,0,0,0,0,0,0,0.089612322
gauze,7,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0.094856689
ruder,6,8,27,0,0,0,1,0,0,0,0,0,0,0,0,0.089113665
irony,5,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0.087740523
clown,4,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0.08642513
needy,3,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0.086854599
woven,2,8,23,0,0,0,0,0,0,1,0,0,0,0,0,0.087424364
merit,1,8,22,0,0,0,1,0,0,0,0,0,0,0,0,0.087020731
waste,7,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0.089451666
treat,6,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0.084952281
shrug,5,8,19,0,1,0,0,0,0,0,0,0,0,0,0,0.087943471
twang,4,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0.090789398
twice,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0.088594164
gruel,2,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0.087936191
poker,1,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0.089891452
khaki,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0.093769746
hunky,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0.090288015
label,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0.089946781
glean,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0.086941369
cling,3,8,10,0,0,0,0,1,0,0,0,0,0,0,0,0.087958783
patty,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0.083344836
unfit,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.089734204
smear,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0.088065594
alien,6,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0.087407636
buggy,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0.091780455
rhyme,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0.089607564
youth,3,8,3,1,0,0,0,0,1,0,0,0,0,0,0,0.086683515
coyly,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.096823169
quart,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.090093285
cramp,7,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0.085834395
bluff,6,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0.08489278
upset,5,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0.085020243
stomp,4,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0.085854859
motto,3,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0.085582534
cinch,2,7,26,0,0,1,0,0,0,0,0,0,0,0,0,0.08953052
elope,1,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0.085117773
power,7,7,24,0,0,0,1,0,0,0,0,0,0,0,0,0.085424359
midge,6,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0.084609318
tryst,5,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0.085036776
aphid,4,7,21,0,0,0,0,0,0,0,0,0,1,0,0,0.086143376
trite,3,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0.08724578
angry,2,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0.084654751
flock,1,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0.083337248
wacky,7,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0.08444624
roomy,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0.084603678
wedge,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0.085461589
liver,4,7,14,0,0,0,1,0,0,0,0,0,0,0,0,0.083553232
bland,3,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0.080590754
night,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0.082498401
madam,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0.084597361
berth,7,7,10,1,0,0,1,0,0,0,0,0,0,0,0,0.083618523
stead,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0.083513823
voice,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0.081390459
agape,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.084571613
fluff,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0.085522981
field,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0.080847055
sever,1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0.084206824
lilac,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0.085486341
egret,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.084161379
pinto,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.080257365
hutch,4,6,30,0,0,1,0,0,0,0,0,0,0,0,0,0.084999548
gawky,3,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0.086690766
droll,2,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0.081247886
retro,1,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0.080190055
rusty,7,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0.078374628
beady,6,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0.079628545
smite,5,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0.078847028
brink,4,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0.077535727
awful,3,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0.081036835
gloat,2,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0.078624723
input,1,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0.078242612
loser,7,6,19,0,0,0,1,0,0,0,0,0,0,0,0,0.079463141
cacao,6,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.08687639
blown,5,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0.077764566
apron,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0.076960509
primo,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0.078426119
atone,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0.079409018
donor,1,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0.076985986
float,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0.076264907
goose,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0.078659687
piety,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0.078084369
girth,4,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0.077724092
trait,3,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0.075492413
flood,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0.075265718
gloom,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.077772838
depth,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0.076298072
froth,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.07606886
peach,5,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0.075759197
showy,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0.077841966
creak,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.075852691
manor,2,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0.076503951
atoll,1,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0.077760829
bayou,7,5,29,0,0,0,0,0,1,0,0,0,0,0,0,0.078027411
crept,6,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0.075945995
tiara,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0.075838737
asset,4,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0.074903463
vouch,3,5,25,0,0,1,0,0,1,0,0,0,0,0,0,0.077084961
album,2,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0.075875671
hinge,1,5,23,0,0,0,0,1,0,0,0,0,0,0,0,0.073851064
money,7,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0.072567701
scrap,6,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0.074430509
gamer,5,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0.074952779
glass,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0.072786238
scour,3,5,18,0,0,0,0,0,1,0,0,0,0,0,0,0.074986812
being,2,5,17,0,0,0,0,1,0,0,0,0,0,0,0,0.07270722
delve,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0.075772872
yield,7,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0.073947702
metal,6,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0.072243086
tipsy,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0.071173552
slung,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0.071610746
farce,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0.071595801
gecko,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0.073764984
shine,1,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0.069108982
canny,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.072478557
midst,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0.070281232
badge,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.071855503
homer,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0.073424906
train,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0.067220418
hairy,2,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0.069228708
story,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.06827473
forgo,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.073385871
larva,6,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0.073713634
tash,5,4,29,0,1,0,0,0,0,0,0,0,0,0,0,0.065643401
zesty,4,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0.070975791
shown,3,4,27,0,1,0,0,0,0,0,0,0,0,0,0,0.066325139
heist,2,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0.066212325
askew,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0.071536243
inert,7,4,24,0,0,0,1,0,0,0,0,0,0,0,0,0.069193039
olive,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0.067830309
plant,5,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0.064839976
oxide,4,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0.071053035
cargo,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0.066622879
foyer,2,4,19,0,0,0,1,0,0,0,0,0,0,0,0,0.075280765
flair,1,4,18,0,0,0,0,0,0,0,1,0,0,0,0,0.065321267
ample,7,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0.065691173
cheek,6,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0.065146731
shame,5,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0.065558385
mince,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0.064840279
chunk,3,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0.063567401
royal,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0.06331207
squad,1,4,11,0,0,0,0,0,0,0,0,0,0,0,1,0.065884838
black,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0.06253119
stair,6,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0.063609269
scare,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.063829184
foray,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0.064325201
comma,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0.064146077
natal,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.063466166
shawl,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.061264472
fewer,7,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0.063686442
trope,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.06006616
snout,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06161855
lowly,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0.062631731
stove,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0.058922846
shall,2,3,29,0,1,0,0,0,0,0,0,0,0,0,0,0.056979942
found,1,3,28,0,0,0,0,0,1,0,0,0,0,0,0,0.061101004
nymph,7,3,27,0,0,0,0,0,0,0,0,0,1,0,0,0.060041821
epoxy,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0.062712783
depot,5,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0.057005133
chest,4,3,24,0,0,1,0,0,0,0,0,0,0,0,0,0.055114571
purge,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0.054565169
slosh,2,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0.054988418
their,1,3,21,1,0,0,0,0,0,0,0,0,0,0,0,0.052984404
renew,7,3,20,0,0,0,0,0,0,1,0,0,0,0,0,0.054307781
allow,6,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0.054474733
saute,5,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0.051737752
movie,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0.052327129
cater,3,3,16,0,0,0,1,0,0,0,0,0,0,0,0,0.051566172
tease,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0.049414606
smelt,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0.05055392
focus,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0.049806059
today,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0.048701113
watch,5,3,11,0,0,1,0,0,0,0,0,0,0,0,0,0.054782659
lapse,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0.047681967
month,3,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0.046754444
sweet,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0.047076005
hoard,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.044936984
cloth,7,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0.045339555
brine,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.045259793
ahead,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.046119865
mourn,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0.043600897
nasty,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.04202422
rupee,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.044045691
choke,1,2,28,0,0,1,0,0,0,0,0,0,0,0,0,0.041900643
chant,7,2,27,0,0,1,0,0,0,0,0,0,0,0,0,0.041683139
spill,6,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0.04061394
vivid,5,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0.045668934
bloke,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0.041508094
trove,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0.041109462
thorn,2,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0.038562979
other,1,2,21,1,0,0,1,0,0,0,0,0,0,0,0,0.039059165
tacit,7,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0.040591864
swill,6,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0.039815533
dodge,5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0.038531432
shake,4,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0.037330082
caulk,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0.037070147
aroma,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.035933657
cynic,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.039549405
robin,7,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0.011709332
ultra,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0.034496174
ulcer,5,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0.038127721
pause,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.044221369
humor,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.04534142
frame,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0.045708966
elder,1,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0.046282804
skill,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.044100341
aloft,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.042877966
pleat,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.041183945
shard,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0.040787211
moist,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.039250307
those,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.038690451
light,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0.039104754
wrung,7,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0.039105899
could,6,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0.037009131
perky,5,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0.037539398
mount,4,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0.034507178
whack,3,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0.033613584
sugar,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0.031504609
knoll,1,1,24,0,0,0,0,0,0,0,0,1,0,0,0,0.032231687
crimp,7,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0.028266692
wince,6,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0.028365681
prick,5,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0.027067114
robot,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0.027008083
point,3,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0.025279558
proxy,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0.028087803
shire,1,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0.025382881
solar,7,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0.023639252
panic,6,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.022610258
tangy,5,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.023512544
abbey,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0.025202296
favor ,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0.022335121
