Date,Number of reported results
2022/10/7,29026
2022/10/8,26905
2022/10/9,28408
2022/10/10,26878
2022/10/11,28575
2022/10/12,29151
2022/10/13,27197
2022/10/14,28906
2022/10/15,30403
2022/10/16,30459
2022/10/17,31269
2022/10/18,28612
2022/10/19,28322
2022/10/20,28741
2022/10/21,28637
2022/10/22,29084
2022/10/23,29279
2022/10/24,28947
2022/10/25,28953
2022/10/26,30063
2022/10/27,27609
2022/10/28,27905
2022/10/29,25156
2022/10/30,24672
2022/10/31,26498
2022/11/1,27502
2022/11/2,27670
2022/11/3,29554
2022/11/4,27330
2022/11/5,29743
2022/11/6,31068
2022/11/7,26096
2022/11/8,27213
2022/11/9,28984
2022/11/10,27467
2022/11/11,25993
2022/11/12,24660
2022/11/13,25085
2022/11/14,26536
2022/11/15,27475
2022/11/16,25576
2022/11/17,27465
2022/11/18,29208
2022/11/19,24749
2022/11/20,24991
2022/11/21,24288
2022/11/22,27437
2022/11/23,26663
2022/11/24,27705
2022/11/25,24197
2022/11/26,26381
2022/11/27,25206
2022/11/28,26051
2022/11/29,23739
2022/11/30,2569
2022/12/1,22628
2022/12/2,24646
2022/12/3,23873
2022/12/4,25577
2022/12/5,23153
2022/12/6,23509
2022/12/7,24899
2022/12/8,21199
2022/12/9,23640
2022/12/10,21157
2022/12/11,21947
2022/12/12,22873
2022/12/13,24101
2022/12/14,20824
2022/12/15,22176
2022/12/16,22853
2022/12/17,22336
2022/12/18,22166
2022/12/19,26010
2022/12/20,24137
2022/12/21,22180
2022/12/22,20490
2022/12/23,21937
2022/12/24,20281
2022/12/25,15554
2022/12/26,20011
2022/12/27,20879
2022/12/28,20160
2022/12/29,20001
2022/12/30,21204
2022/12/31,20380
