Date,isHoliday,Month,Day,WeekNum,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Average,Sigma,th,sh,ch,er,ing,ou,en,eu,ai,oe,kn,ph,fj,wr,qu,Collision
2022/12/4,0,12,4,1,533,adore,25577,2398,0.02,0.17,0.32,0.29,0.15,0.05,0.01,3.564356436,1.189190935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/3,0,12,3,7,532,torso,23873,2260,0,0.04,0.35,0.36,0.17,0.06,0.01,3.888888889,1.003920485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/2,0,12,2,6,531,chafe,24646,2343,0,0.06,0.3,0.33,0.19,0.09,0.02,4.01010101,1.132575054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/12/1,0,12,1,5,530,eject,22628,2200,0,0.02,0.11,0.35,0.36,0.14,0.02,4.55,0.993730346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/30,0,11,30,4,529,study,2569,2405,0,0.06,0.3,0.33,0.19,0.1,0.02,4.03,1.14415908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/29,0,11,29,3,528,undue,23739,2316,0,0.03,0.19,0.35,0.29,0.13,0.02,4.356435644,1.077071188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/28,0,11,28,2,527,tepid,26051,2484,0,0.1,0.38,0.35,0.13,0.03,0,3.606060606,0.940859073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/27,0,11,27,1,526,happy,25206,2356,0,0.06,0.28,0.39,0.19,0.06,0.01,3.939393939,1.023148062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/26,0,11,26,7,525,clen,26381,2424,0.01,0.17,0.36,0.31,0.12,0.03,0,3.45,1.033198916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2022/11/25,1,11,25,6,524,itchy,24197,2329,0,0.08,0.28,0.4,0.18,0.05,0.01,3.87,1.026206607,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/24,2,11,24,5,523,feast,27705,2725,0.05,0.13,0.25,0.27,0.19,0.1,0.02,3.792079208,1.388188018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/23,0,11,23,4,522,drive,26663,2451,0.01,0.12,0.32,0.3,0.18,0.06,0.01,3.74,1.154296322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/22,0,11,22,3,521,prime,27437,2534,0.01,0.1,0.26,0.32,0.21,0.09,0.01,3.93,1.185369141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/21,0,11,21,2,520,axiom,24288,2382,0,0.05,0.19,0.33,0.27,0.13,0.03,4.33,1.15805872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/20,0,11,20,1,519,brave,24991,2396,0.01,0.06,0.17,0.27,0.27,0.18,0.05,4.455445545,1.308954329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/19,0,11,19,7,518,avert,24749,2400,0,0.07,0.26,0.35,0.22,0.09,0.01,4.03,1.099590833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/11/18,0,11,18,6,517,glyph,29208,2899,0,0.02,0.23,0.49,0.2,0.05,0.01,4.06,0.892412461,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2022/11/17,0,11,17,5,516,there,27465,2530,0,0.14,0.35,0.33,0.14,0.04,0,3.59,1.020735029,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/11/16,0,11,16,4,515,baker,25576,2541,0,0.05,0.16,0.23,0.24,0.22,0.1,4.72,1.364404632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/11/15,0,11,15,3,514,snarl,27475,2650,0,0.05,0.21,0.31,0.24,0.15,0.04,4.35,1.219631092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/14,0,11,14,2,513,maple,26536,2467,0.01,0.06,0.26,0.36,0.21,0.08,0.01,3.98989899,1.105495451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/13,0,11,13,1,512,inane,25085,2515,0,0.08,0.25,0.3,0.21,0.13,0.03,4.15,1.24398553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/12,0,11,12,7,511,valet,24660,2356,0,0.04,0.22,0.38,0.25,0.09,0.01,4.161616162,1.031886286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/11,0,11,11,6,510,medal,25993,2438,0,0.05,0.25,0.38,0.23,0.08,0.01,4.07,1.041681333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/10,0,11,10,5,509,unite,27467,2575,0.01,0.11,0.31,0.33,0.18,0.05,0.01,3.75,1.116915395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/9,0,11,9,4,508,rainy,28984,2678,0.01,0.16,0.38,0.31,0.11,0.03,0.01,3.475247525,1.067930908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2022/11/8,0,11,8,3,507,spell,27213,2531,0,0.04,0.24,0.37,0.24,0.09,0.01,4.131313131,1.041041288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/7,0,11,7,2,506,begin,26096,2439,0,0.06,0.26,0.36,0.23,0.07,0.01,4.02020202,1.053898947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/6,0,11,6,1,505,stale,31068,3013,0.02,0.19,0.3,0.27,0.15,0.06,0.02,3.594059406,1.275653339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/5,0,11,5,7,504,dream,29743,2751,0.05,0.14,0.31,0.29,0.15,0.04,0.01,3.515151515,1.225681722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/4,0,11,4,6,503,photo,27330,2565,0,0.05,0.34,0.43,0.15,0.03,0,3.77,0.870114935,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2022/11/3,0,11,3,5,502,aloud,29554,2819,0.01,0.18,0.31,0.3,0.15,0.04,0.01,3.56,1.151694404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2022/11/2,0,11,2,4,501,inept,27670,2640,0,0.06,0.3,0.39,0.2,0.06,0.01,3.931372549,1.021914811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/11/1,0,11,1,3,500,piney,27502,3667,0,0.01,0.14,0.37,0.33,0.14,0.02,4.504950495,0.991286417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/31,0,10,31,2,499,aptly,26498,2572,0,0.03,0.26,0.41,0.23,0.07,0.01,4.079207921,0.981846798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/30,0,10,30,1,498,waltz,24672,2496,0,0.02,0.11,0.29,0.35,0.19,0.03,4.676767677,1.062000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/29,0,10,29,7,497,libel,25156,2536,0,0.03,0.15,0.32,0.32,0.16,0.02,4.49,1.081619157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/28,0,10,28,6,496,sneak,27905,2636,0,0.07,0.28,0.36,0.21,0.07,0.01,3.96,1.066958293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/27,0,10,27,5,495,carry,27609,2615,0,0.04,0.22,0.35,0.24,0.12,0.03,4.27,1.138902981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/26,0,10,26,4,494,flout,30063,2904,0,0.06,0.28,0.37,0.21,0.07,0.01,3.98,1.048618138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2022/10/25,0,10,25,3,493,foggy,28953,2817,0,0.02,0.13,0.35,0.32,0.15,0.03,4.54,1.052805775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/24,0,10,24,2,492,fault,28947,2768,0,0.07,0.27,0.35,0.22,0.08,0.01,4,1.086278049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/23,0,10,23,1,491,mummy,29279,3021,0,0.01,0.04,0.14,0.27,0.37,0.18,5.475247525,1.113322202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/22,0,10,22,7,490,spiel,29084,2810,0,0.07,0.32,0.36,0.19,0.06,0.01,3.881188119,1.046324342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/21,0,10,21,6,489,grove,28637,2794,0,0.04,0.18,0.3,0.28,0.17,0.03,4.45,1.169401556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/20,0,10,20,5,488,denim,28741,2769,0,0.05,0.29,0.4,0.2,0.05,0,3.909090909,0.943782515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2022/10/19,0,10,19,4,487,quirk,28322,2794,0,0.03,0.23,0.39,0.24,0.09,0.02,4.19,1.045896744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2022/10/18,0,10,18,3,486,exist,28612,2805,0,0.05,0.24,0.38,0.23,0.08,0.01,4.080808081,1.04133527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/17,0,10,17,2,485,stein,31269,2965,0.01,0.12,0.34,0.32,0.16,0.05,0.01,3.683168317,1.116311936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/16,0,10,16,1,484,spade,30459,2854,0.01,0.08,0.29,0.36,0.19,0.06,0.01,3.86,1.095627674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/15,0,10,15,7,483,catch,30403,3123,0,0.07,0.18,0.2,0.15,0.16,0.23,4.848484848,1.622839738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/14,0,10,14,6,482,floor,28906,2752,0,0.03,0.23,0.44,0.24,0.06,0,4.07,0.908350153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/13,0,10,13,5,481,equal,27197,2677,0,0.05,0.23,0.35,0.25,0.11,0.02,4.198019802,1.117101997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2022/10/12,0,10,12,4,480,ionic,29151,2947,0,0.02,0.13,0.25,0.28,0.21,0.11,4.86,1.25713961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/11,0,10,11,3,479,valid,28575,2752,0,0.04,0.28,0.38,0.21,0.08,0.01,4.04,1.028785692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/10,1,10,10,2,478,enjoy,26878,2654,0,0.03,0.12,0.29,0.33,0.2,0.03,4.64,1.10923397,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2022/10/9,0,10,9,1,477,howdy,28408,2668,0,0.02,0.13,0.32,0.32,0.17,0.04,4.61,1.094486181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/8,0,10,8,7,476,vigor,26905,2642,0,0.02,0.15,0.35,0.31,0.14,0.02,4.464646465,1.037801983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/7,0,10,7,6,475,dandy,29026,2840,0,0.02,0.11,0.23,0.29,0.24,0.11,4.95,1.235920709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/6,0,10,6,5,474,sloth,32522,2987,0.01,0.1,0.38,0.34,0.13,0.03,0,3.575757576,0.975362239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/5,0,10,5,4,473,marxh,30935,2885,0,0.09,0.3,0.35,0.19,0.06,0.01,3.86,1.077218641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/4,0,10,4,3,472,bough,32014,3060,0,0.03,0.17,0.35,0.28,0.13,0.03,4.404040404,1.100222126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2022/10/3,0,10,3,2,471,sting,32288,2969,0.01,0.1,0.3,0.33,0.18,0.08,0.02,3.87254902,1.193705457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2022/10/2,0,10,2,1,470,twine,30088,2775,0,0.06,0.28,0.4,0.2,0.05,0.01,3.93,1.002546757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/10/1,0,10,1,7,469,leave,28202,2696,0,0.04,0.16,0.34,0.31,0.12,0.01,4.346938776,1.050772707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/30,0,9,30,6,468,scorn,31223,2859,0,0.08,0.31,0.35,0.2,0.06,0.01,3.881188119,1.065081494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/29,0,9,29,5,467,scald,30477,2829,0,0.04,0.23,0.36,0.24,0.11,0.02,4.21,1.098134782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/28,0,9,28,4,466,usurp,31355,3007,0,0.03,0.21,0.38,0.26,0.09,0.01,4.204081633,1.009740153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/27,0,9,27,3,465,soggy,30985,2888,0,0.02,0.18,0.38,0.28,0.11,0.02,4.343434343,1.026533011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/26,0,9,26,2,464,brisk,31706,2884,0,0.05,0.23,0.38,0.24,0.07,0.01,4.081632653,1.02691801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/25,0,9,25,1,463,admit,28994,2677,0,0.1,0.25,0.34,0.22,0.08,0.01,3.96,1.130663522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/24,0,9,24,7,462,grate,32777,3077,0.01,0.14,0.29,0.28,0.16,0.08,0.03,3.808080808,1.292376776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/23,0,9,23,6,461,glory,31509,2893,0,0.06,0.3,0.39,0.19,0.05,0,3.868686869,0.960286833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/22,0,9,22,5,460,saint,34455,3119,0.01,0.14,0.35,0.29,0.15,0.05,0.01,3.62,1.138244262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2022/9/21,0,9,21,4,459,recap,31976,2900,0,0.05,0.3,0.35,0.21,0.08,0.01,4,1.058300524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/20,0,9,20,3,458,alike,31277,2843,0,0.06,0.2,0.33,0.27,0.12,0.02,4.25,1.143459663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/19,0,9,19,2,457,trice,35050,3430,0,0.05,0.24,0.25,0.18,0.17,0.11,4.51,1.424745591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/18,0,9,18,1,456,stick,33102,3038,0.01,0.09,0.36,0.35,0.14,0.04,0,3.646464646,0.998110653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/17,0,9,17,7,455,chute,33418,3073,0,0.11,0.37,0.36,0.12,0.03,0,3.585858586,0.942917255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/16,0,9,16,6,454,parer,37309,4130,0,0,0.04,0.11,0.15,0.22,0.48,5.99,1.195784261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/9/15,0,9,15,5,453,doubt,33344,3011,0.01,0.12,0.32,0.34,0.16,0.04,0,3.646464646,1.047489845,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2022/9/14,0,9,14,4,452,thyme,32142,2938,0.01,0.05,0.24,0.41,0.23,0.05,0,3.95959596,0.98390268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/13,0,9,13,3,451,alpha,29497,2706,0,0.03,0.19,0.4,0.28,0.09,0.01,4.24,0.991160935,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2022/9/12,0,9,12,2,450,booze,29147,2883,0,0.01,0.07,0.27,0.38,0.23,0.04,4.87,1.006528688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/11,0,9,11,1,449,tibia,27887,2675,0,0.01,0.14,0.4,0.3,0.12,0.02,4.444444444,0.976721192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/10,0,9,10,7,448,lofty,29237,2777,0,0.04,0.19,0.34,0.27,0.13,0.03,4.35,1.134680572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/9,0,9,9,6,447,theme,32172,2909,0,0.08,0.29,0.4,0.18,0.04,0,3.808080808,0.96060553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/8,0,9,8,5,446,class,31962,3001,0,0.04,0.21,0.32,0.22,0.13,0.07,4.404040404,1.262666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/7,0,9,7,4,445,leery,30992,2873,0,0.03,0.17,0.37,0.28,0.12,0.02,4.353535354,1.057088925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/9/6,0,9,6,3,444,taunt,32734,3022,0,0.04,0.19,0.27,0.21,0.16,0.13,4.65,1.395528574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/5,2,9,5,2,443,whoop,32733,2970,0,0.01,0.16,0.47,0.29,0.07,0.01,4.277227723,0.880130637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/4,0,9,4,1,442,inter,32018,2889,0,0.06,0.25,0.36,0.23,0.08,0.01,4.050505051,1.067175422,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/9/3,0,9,3,7,441,gully,31191,2877,0,0.01,0.09,0.27,0.31,0.25,0.07,4.91,1.114405671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/2,0,9,2,6,440,charm,35724,3149,0.01,0.12,0.32,0.34,0.16,0.05,0.01,3.702970297,1.112881858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/9/1,0,9,1,5,439,fungi,31903,2928,0,0.02,0.18,0.41,0.28,0.09,0.01,4.272727273,0.962091386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/31,0,8,31,4,438,prize,35343,3166,0,0.05,0.12,0.2,0.32,0.26,0.05,4.77,1.239798371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/30,0,8,30,3,437,onset,33660,3009,0,0.04,0.29,0.4,0.21,0.06,0.01,3.99009901,0.989999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/29,0,8,29,2,436,chief,34281,3072,0.01,0.06,0.32,0.38,0.18,0.05,0,3.81,0.996945335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/28,0,8,28,1,435,gauze,30214,2866,0,0.02,0.11,0.24,0.31,0.25,0.08,4.891089109,1.184896621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/27,0,8,27,7,434,ruder,31241,2784,0,0.02,0.16,0.33,0.29,0.16,0.04,4.53,1.117631424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/8/26,0,8,26,6,433,irony,34716,3046,0,0.06,0.29,0.34,0.21,0.08,0.01,3.98989899,1.07773565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/25,0,8,25,5,432,clown,36737,3175,0.01,0.08,0.29,0.36,0.2,0.06,0.01,3.871287129,1.096017691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/24,0,8,24,4,431,needy,33700,2927,0,0.02,0.21,0.41,0.26,0.09,0.01,4.22,0.975499872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/23,0,8,23,3,430,woven,33549,2933,0,0.02,0.13,0.32,0.32,0.17,0.03,4.585858586,1.073181817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2022/8/22,0,8,22,2,429,merit,35888,3123,0,0.07,0.33,0.37,0.17,0.05,0,3.797979798,0.974210874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/8/21,0,8,21,1,428,waste,35617,3186,0.01,0.07,0.19,0.27,0.24,0.17,0.05,4.37,1.339066839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/20,0,8,20,7,427,treat,38245,3249,0.01,0.22,0.32,0.26,0.14,0.05,0.01,3.485148515,1.199123949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/19,0,8,19,6,426,shrug,33965,2987,0,0.04,0.23,0.36,0.26,0.1,0.01,4.18,1.052425769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/18,0,8,18,5,425,twang,34938,3172,0,0.03,0.22,0.43,0.25,0.07,0.01,4.138613861,0.965029143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/17,0,8,17,4,424,twice,35815,3173,0.01,0.06,0.28,0.38,0.21,0.06,0.01,3.930693069,1.064805339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/16,0,8,16,3,423,gruel,35105,3087,0,0.03,0.19,0.39,0.29,0.09,0.01,4.25,0.993730346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/15,0,8,15,2,422,poker,35376,3180,0,0.04,0.17,0.3,0.27,0.17,0.05,4.51,1.212394325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2022/8/14,0,8,14,1,421,khaki,31652,2968,0,0.02,0.17,0.33,0.28,0.16,0.04,4.51,1.126898398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/13,0,8,13,7,420,hunky,35276,3185,0,0.01,0.11,0.33,0.25,0.22,0.07,4.777777778,1.15080609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/12,0,8,12,6,419,label,34198,3076,0,0.04,0.18,0.32,0.29,0.15,0.02,4.39,1.121561412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/11,0,8,11,5,418,glean,37301,3243,0,0.06,0.23,0.37,0.24,0.08,0.01,4.080808081,1.060557959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/8/10,0,8,10,4,417,cling,37654,3312,0,0.04,0.2,0.34,0.27,0.13,0.02,4.31,1.110810515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2022/8/9,0,8,9,3,416,patty,36223,3019,0,0.02,0.16,0.39,0.29,0.12,0.01,4.363636364,0.989383498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
